title,director,year,country,genre,rating,votes
无敌破坏王,瑞奇·莫尔 Rich Moore,2012,美国,喜剧 动画 奇幻 冒险,8.7,579359
岁月神偷,罗启锐 Alex Law,2010,中国香港 中国大陆,剧情 家庭,8.7,595668
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,2002,美国,喜剧 动画 冒险,8.6,653659
牯岭街少年杀人事件,杨德昌 Edward Yang,1991,中国台湾,剧情 犯罪,8.9,336456
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,471814
忠犬八公物语,神山征二郎 Seijirô Kôyama,1987,日本,剧情,9.2,208051
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,932450
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,2014,美国,剧情 音乐,8.7,630398
东京教父,今敏 Satoshi Kon,2003,日本,剧情 喜剧 动画,9.0,261144
魔女宅急便,宫崎骏 Hayao Miyazaki,1989,日本,动画 奇幻 冒险,8.7,495210
末路狂花,雷德利·斯科特 Ridley Scott,1991,美国 英国 法国,犯罪 剧情 惊悚,9.0,301392
大佛普拉斯,黄信尧 Hsin-yao Huang,2017,中国台湾,剧情 喜剧,8.7,513622
遗愿清单,罗伯·莱纳 Rob Reiner,2007,美国,冒险 喜剧 剧情,8.7,501725
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,英国,剧情 爱情,8.6,780081
东邪西毒,王家卫 Kar Wai Wong,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,606748
你看起来好像很好吃,藤森雅也 Masaya Fujimori,2010,日本,剧情 动画 儿童,8.9,354175
高山下的花环,谢晋 Jin Xie,1984(中国大陆),1985,中国大陆,9.5,124672
源代码,邓肯·琼斯 Duncan Jones,2011,美国 加拿大,科幻 悬疑 惊悚,8.5,882644
可可西里,陆川 Chuan Lu,2004,中国大陆 中国香港,剧情 犯罪,8.9,325553
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,澳大利亚 美国,动作 科幻 冒险,8.7,584657
城市之光,Charles Chaplin,1931,美国,喜剧 剧情 爱情,9.3,159941
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,2016,美国,剧情 家庭,8.6,603119
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,英国 美国,剧情 传记 同性 音乐,8.6,652564
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚,8.6,815168
芙蓉镇,谢晋 Jin Xie,1987,中国大陆,剧情 爱情,9.3,164713
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,美国,剧情 爱情 歌舞,8.4,1020213
真爱至上,理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情,8.5,771921
青蛇,徐克 Hark Tsui,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,560297
雨人,巴瑞·莱文森 Barry Levinson,1988,美国,剧情,8.7,425709
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010,泰国,剧情 喜剧 爱情,8.5,1017912
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,1991,美国 法国,动作 科幻,8.8,363021
花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,日本,剧情 爱情,8.6,729263
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,2001,美国 英国,剧情 科幻,8.7,476072
虎口脱险,杰拉尔·乌里 Gérard Oury,1966,法国 英国,喜剧 战争,8.9,277377
无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,2009,德国 美国,剧情 犯罪,8.7,517850
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情,8.5,714709
新龙门客栈,李惠民 Raymond Lee,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.7,476050
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,英国 美国,奇幻 冒险,8.6,633867
白日梦想家,本·斯蒂勒 Ben Stiller,2013,美国 英国,剧情 喜剧 冒险,8.6,571884
崖上的波妞,宫崎骏 Hayao Miyazaki,2008,日本,动画 奇幻 冒险,8.6,538900
罗生门,黑泽明 Akira Kurosawa,1950,日本,剧情 犯罪 悬疑,8.8,337663
千钧一发,安德鲁·尼科尔 Andrew Niccol,1997,美国,剧情 科幻 惊悚,8.8,325562
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,美国 英国,科幻 悬疑 惊悚,8.6,636853
大红灯笼高高挂,张艺谋 Yimou Zhang,1991,中国大陆 中国香港 中国台湾,剧情,8.8,326696
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,2003,美国,动作 科幻,8.7,431617
萤火虫之墓,高畑勋 Isao Takahata,1988,日本,动画 剧情 战争,8.7,423308
火星救援,雷德利·斯科特 Ridley Scott,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,785399
哈利·波特与凤凰社,大卫·叶茨 David Yates,2007,英国 美国,奇幻 冒险,8.5,635440
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,美国 中国香港,剧情 儿童 家庭,8.6,577684
