title,year,director,genres,country,language,rating,votes
TME Live 「想你 张国荣」线上音乐会 想你·张国荣,2021,,音乐,中国香港,粤语,9.3,1104
老鹰乐队2004年墨尔本演唱会 Eagles: The Farewell 1 Tour - Live from Melbourne,2005,Carol Dodds,音乐,澳大利亚,英语,9.3,749
宇多田光首次录音棚演唱会 Hikaru Utada Live Sessions from Air Studios,2022,,音乐,日本,,9.3,637
皮娜·鲍什：穆勒咖啡馆 Pina Bausch - Café Müller,1985,皮娜·鲍什,音乐 / 歌舞,西德,无对白,9.3,2319
悲惨世界：音乐会现场 Les Misérables: The Staged Concert,2019,尼克·莫里斯 / 詹姆斯·鲍威尔 / 让·皮埃尔·范德斯普伊,音乐 / 歌舞,英国,英语,9.3,2595
哈姆雷特 Hamlet,2018,Robert Icke / Rhodri Huw / Ilinca Radulian,剧情,英国,,9.3,1844
周杰伦2010超时代世界巡回演唱会,2010,,音乐,中国台湾,汉语普通话,9.3,1404
微速摄影：流逝的大自然 Nature Time Lapse,2009,mockmoon,,日本,无,9.3,1199
绿洲乐队：熟悉几百万 Oasis: Familiar to Millions,2000,Dick Carruthers,音乐,英国,英语,9.3,1271
大河之舞1995 Riverdance: The Show,1995,John McColgan,歌舞,爱尔兰,英语,9.3,943
第五十一届超级碗 Super Bowl LI,2017,Dan Quinn / Bill Belichick,运动,美国,英语,9.3,976
纵贯线演唱会,2009,,音乐,中国台湾,汉语普通话,9.3,851
十亿个掌声演唱会,1984,,音乐,中国台湾,汉语普通话,9.3,496
Get A Life 演唱会,2006,Wang,音乐,中国香港,粤语,9.3,445
张学友2002音乐之旅世界巡回演唱会 张学友音乐之旅Live演唱会,2002,,音乐,中国香港,粤语 / 汉语普通话,9.3,272
TME live 五月天“好好好想见到你”陪你跨年演唱会线上特别版,2021,,音乐 / 真人秀,中国台湾,汉语普通话,9.3,2154
齐天乐,1987,杨洁,歌舞 / 戏曲,中国大陆,汉语普通话,9.3,1936
君特•高斯对汉娜•阿伦特的访谈 Zur Person: Hannah Arendt,1964,,,西德,德语,9.3,1488
春之祭 Frühlingsopfer,2008,维姆·文德斯,,西德,,9.3,1093
皇家莎士比亚剧团：理查二世 Royal Shakespeare Company: Richard II,2013,格雷格里·多兰,,英国,英语,9.3,1319
单向乐队：我们所到之处 One Direction: Where We Are - The Concert Film,2014,Paul Dugdale,音乐,英国,英语,9.3,964
马修·伯恩版《天鹅湖》 Swan Lake,2019,马修·伯恩,歌舞,英国,英语,9.3,1003
Minimum-Maximum,2005,Kraftwerk,音乐,德国,德语 / 英语 / 法语 / 日语 / 俄语 / 意大利语,9.3,612
飄 風と共に去りぬ,1994,,爱情 / 歌舞,日本,日语,9.3,671
公园现场 Blur: Parklive,2012,Matthew Amos,音乐,英国,英语,9.3,504
疯狂汽车秀-印度特辑 Top Gear India Special,2011,,,英国,英语,9.3,462
聆听阿黛尔 An Audience with Adele,2021,,音乐,英国,英语,9.3,474
疯狂汽车秀 博兹瓦纳特辑 Top Gear Botswana Special,2007,,,英国,英语,9.3,361
Continues ～with Wings～,2018,,运动,日本,日语,9.3,246
天鹅湖 Лебединое озеро,1969,Apollinari Dudko / Konstantin Sergeyev,音乐,苏联,俄语,9.3,913
五位(还嫌少)博士重启 The Five(ish) Doctors Reboot,2013,彼得·戴维森,喜剧,英国,英语,9.3,849
神秘博士：DT的视频日志 David Tennant's Video Diary (Season 2),2006,,,英国,英语,9.3,765
2014年索契冬奥会开幕式 Церемония открытия зимних Олимпийских игр 2014,2014,Andrei Boltenko / George Tsypin,运动,俄罗斯,俄语,9.3,873
绅士联盟舞台剧 The League of Gentlemen Are Behind You,2006,Gordon Issacs,喜剧 / 惊悚,英国,英语,9.3,734
TME Live 吴青峰「16叶」线上演唱会 TME Live 吳青峰「16葉」線上演唱會,2020,,音乐 / 真人秀,中国台湾 / 中国大陆,汉语普通话,9.3,653
平安结祈 平安結祈,2012,堤幸彦,音乐,日本,日语,9.3,637
酷玩乐队：2014鬼故事演唱会 Coldplay -  Ghost Stories Live 2014,2014,Paul Dugdale,音乐,英国,英语,9.3,604
与源太太一起 おげんさんといっしょ,2017,,,日本,日语,9.3,247
Joey · My Secret · Live,2017,,音乐,中国香港,粤语,9.3,189
"剧匠魅影 Hey, Mr Producer! The Musical World of Cameron Mackintosh",1998,Gavin Taylor,歌舞,英国,英语,9.3,2061
神秘博士：2008逍遥音乐会 Doctor Who at the Proms,2008,Rhodri Huw,音乐,英国,英语,9.3,837
迈克尔杰克逊反击片 The Michael Jackson Interview: The Footage You Were Never Meant to See,2003,,,美国,英语,9.3,702
老鹰乐队冰封地狱演唱会 Eagles: Hell Freezes Over,1994,,,,,9.3,651
绿翼：圣诞特别篇 Green Wing: Christmas Special,2006,多米尼克·布里斯托克 / 特斯塔姆·莎佩罗,剧情,英国,英语,9.3,661
雅尼2006年拉斯维加斯音乐会 Yanni Live! The Concert Event,2006,George Veras,音乐,美国,英语,9.3,637
